Hive ID,City,State
S017757,Phippsburg,Maine
S017756,Boston,Massachusetts
S017752,New York,New York
S011889,Tonasket,Washington
S011878,Warner,New Hampshire
S017759,Los Angeles,California
S011869,Waccabuc,New York
S011891,North Bend,Washington
S017762,Los Angeles,California
S017763,Los Angeles,California
S017407,Merrimack,New Hampshire
S017406,Merrimack,New Hampshire
S017405,Merrimack,New Hampshire
S017402,Merrimack,New Hampshire
S017401,Merrimack,New Hampshire
S017751,Chatsworth,California
S017404,Boxford,Massachusetts
S017403,Woburn,Massachusetts
S011897,Pittsburg,Pennsylvania
S017410,Wayland,Massachusetts
S011892,Verona,Pennsylvania
S017415,Wayland,Massachusetts
S011884,Duxbury,Massachusetts
S011862,Duxbury,Massachusetts
S011893,Altadena,California
S011845,Washington,District-of-Columbia
S011846,Truro,Massachusetts
S011890,Westport,Connecticut
S017417,Bethesda,Maryland
S011885,Wayland,Massachusetts
S011886,Lincoln,Massachusetts
S011899,Beverly,Massachusetts
S011868,Russell,New York
S011881,Lincoln,Massachusetts
S011880,Chestnut Hill,Massachusetts
S011888,Providence,Rhode Island
S011882,Boston,Massachusetts
S011874,Shrewsbury,Massachusetts
S011861,New York,New York
S011850,New Canaan,Connecticut
S011849,New Canaan,Connecticut
S011852,Nashville,Tennessee
S011851,Bristol,Rhode Island
S011844,Medford,Massachusetts
S011843,Morristown,New Jersey
S011842,Woodstock,Vermont
S011840,Davidson,Maryland
S011832,Cambridge,Massachusetts
S011835,Jacksonville,Oregon
S011833,Mattapoisett,Massachusetts
S011831,Sudbury,Massachusetts
S011808,Lincoln,Massachusetts
S011829,Sudbury,Massachusetts
S005716,Canoga Park,California
S011821,Acton,Massachusetts
S011812,Cambridge,Massachusetts
S011820,Provincetown,Massachusetts
S011814,Provincetown,Massachusetts
S011813,Bedford,Massachusetts
S011801,Chilmark,Massachusetts
S011805,South Hampton,New Hampshire
S011804,Malden,Massachusetts
S011803,Lexington,Massachusetts
S011802,Wayland,Massachusetts
S011800,Sharon,Massachusetts
S005751,Waccabuc,New York
S005761,Ira,Vermont
S005729,Brooklyn,New York
S005713,Wilmington,Delaware
S005704,Dartmouth,Massachusetts
S005705,Dartmouth,Massachusetts
S005702,Brookline,Massachusetts
S0011806,Eastham,Massachusetts
S005710,Boston,Massachusetts
S005718,Hingham,Massachusetts
S005728,Arlington,Massachusetts
S005711,Windham,New Hampshire
S011818,Denver,Colorado
S011816,Chicago,Illinois
S011807,Chicago,Illinois
S011815,Chicago,Illinois
S0011817,Denver,Colorado
S005721,Portland,Oregon
S005722,Los Angeles,California
S005730,Los Angeles,California
S005706,Boston,Massachusetts
S005720,Seattle,Washington
S005701,San Mateo,California
S005731,New York,New York
S005715,Bedford,New York
S005727,Medfield,Massachusetts
S005738,Sudbury,Massachusetts
S005739,Lincoln,Massachusetts
S005712,Jeffersonville,Vermont
S005770,Cambridge,Massachusetts
S005748,Los Angeles,California
S005725,Davidsonville,Maryland
S005774,Tiverton,Rhode Island
S005773,Cambridge,Massachusetts
S005790,Marion,Massachusetts
S005757,Arlington,Massachusetts
S005759,Newton,Massachusetts
S005764,Arlington,Massachusetts
S005776,Boston,Massachusetts
S005756,Boston,Massachusetts
S005724,Andover,Massachusetts
S005714,Billerica,Massachusetts
S005785,Belmont,Massachusetts
S005766,Boston,Massachusetts
S005778,Boston,Massachusetts
S005745,Medfield,Massachusetts
S005755,Boston,Massachusetts
S005760,Newport,Rhode Island
S005786,Duxbury,Massachusetts
S005765,Cambridge,Massachusetts
S005797,North Hampton,New Hampshire
S005733,Ashland,Oregon
S005732,Brooklyn,New York
S005742,Somerville,Massachusetts
S005799,Groton,Massachusetts
S005798,Newton Center,Massachusetts